minutes	A1	A2	A3	B1	B2	B3	C1	C2	C3	X1	X2	X3	Y1	Y2	Y3
20	6.963253	6.988124	6.879776	6.811808	6.892125	6.868915	6.911978	6.969276	6.851087	6.841278	6.845227	6.867388	6.932225	6.870297	6.854388
20.1	6.963781	6.989628	6.878709	6.810833	6.886480	6.864431	6.911937	6.969069	6.845405	6.850133	6.851395	6.862252	6.936011	6.865404	6.848942
20.2	6.971127	6.994158	6.871887	6.815956	6.888661	6.855912	6.899923	6.979250	6.843979	6.854941	6.859246	6.859989	6.938509	6.863892	6.840467
20.3	6.971009	6.981494	6.853070	6.813288	6.884177	6.852755	6.902671	6.976461	6.859454	6.846280	6.861997	6.856958	6.940063	6.864899	6.838964
20.4	6.968528	6.985128	6.867097	6.812871	6.887194	6.844525	6.913709	6.973530	6.958179	6.846320	6.870128	6.865259	6.934807	6.868257	6.844572
20.5	6.963650	6.984419	6.878427	6.815913	6.894317	6.851939	6.913482	6.974524	7.092857	6.845888	6.862306	6.871143	6.933989	6.875394	6.856832
20.6	6.964704	6.991724	6.879585	6.814756	6.887678	6.850342	6.914654	6.973924	7.120452	6.844248	6.854742	6.868532	6.935751	6.879631	6.857205
20.7	6.964953	6.974141	6.878894	6.816770	6.883425	6.848636	6.913655	6.967202	7.148464	6.844217	6.855304	6.869098	6.936475	6.889925	6.864662
20.8	6.962476	6.972139	6.898804	6.821551	6.883054	6.848874	6.919158	6.974176	7.148013	6.840120	6.852890	6.872453	6.927166	6.889053	6.862490
20.9	6.964721	6.985945	6.903303	6.815224	6.883963	6.851344	6.922627	6.983426	7.120604	6.833925	6.853320	6.878348	6.928677	6.879366	6.856335
21	6.972299	6.983397	6.885617	6.822415	6.889177	6.859723	6.924081	6.992367	7.077166	6.835695	6.851809	6.877179	6.930615	6.893742	6.847553
21.1	6.975474	6.977431	6.883947	6.822922	6.891887	6.857436	6.925565	6.982933	7.041261	6.835695	6.849581	6.871163	6.933066	6.892210	6.846327
21.2	6.970382	6.974560	6.885281	6.821067	6.890658	6.845721	6.926585	6.979245	7.040284	6.837837	6.852032	6.871089	6.937543	6.897167	6.853114
21.3	6.969354	6.971875	6.899706	6.821500	6.895531	6.850046	6.924856	6.981085	7.046147	6.836043	6.855762	6.865159	6.925005	6.898318	6.863685
21.4	6.969611	6.974459	6.899635	6.828072	6.907610	6.850411	6.925176	6.990095	7.057642	6.831945	6.859048	6.860256	6.927229	6.892432	6.860575
21.5	6.968620	6.980620	6.896732	6.828301	6.902598	6.843572	6.928303	6.989186	7.073466	6.834112	6.846259	6.861753	6.922590	6.883148	6.856164
21.6	6.971349	6.980110	6.896332	6.827790	6.899878	6.839813	6.937960	6.977844	7.057047	6.831112	6.841502	6.862676	6.919629	6.882984	6.854674
21.7	6.975573	6.975636	6.889866	6.842822	6.903296	6.840068	6.943436	6.977029	7.044225	6.832537	6.838039	6.862665	6.921377	6.882206	6.860104
21.8	6.978358	6.966437	6.885876	6.835334	6.905804	6.840341	6.941865	6.978553	7.046874	6.833179	6.839216	6.865334	6.920257	6.882003	6.871061
21.9	6.973692	6.964163	6.889644	6.830325	6.901929	6.833686	6.949758	6.994102	7.040339	6.829983	6.848981	6.872889	6.919688	6.878856	6.872662
22	6.968163	6.964227	6.885105	6.833654	6.901929	6.841493	6.943957	6.992656	7.044278	6.830529	6.844842	6.871092	6.919038	6.877838	6.907642
22.1	6.959072	6.972886	6.895064	6.827382	6.900839	6.843711	6.939870	6.990833	7.050978	6.831240	6.849294	6.883733	6.933912	6.882575	6.900109
22.2	6.958025	6.980125	6.893154	6.825252	6.888214	6.836535	6.933705	6.993502	7.051566	6.835735	6.850665	6.888646	6.931326	6.886416	6.894132
22.3	6.959657	6.980229	6.891913	6.820105	6.890979	6.839216	6.937265	6.988918	7.049126	6.840783	6.848165	6.889602	6.930475	6.883743	6.891197
22.4	6.957795	6.967040	6.891723	6.820297	6.890482	6.851080	6.940402	6.983825	7.054063	6.839380	6.852995	6.897308	6.930338	6.883853	6.892502
22.5	6.959394	6.960424	6.891892	6.827432	6.887925	6.849633	6.950690	6.981651	7.079849	6.831244	6.854049	6.910327	6.929354	6.883974	6.895687
22.6	6.952759	6.963817	6.907111	6.823137	6.886791	6.850191	6.947108	6.985848	7.098120	6.838058	6.847134	6.906717	6.929090	6.881747	6.882787
